總價(萬元),占比乗面積,building,屋齡,樓別/樓高,管理組織,電梯,主要用途,region,衛,廳,房
705,14.033543,condominium,1,二層/四層,有,有,住家用,North District,2,1,2
2818,76.23,House,12,全/四層,無,無,住家用,North District,2,5,5
900,30.963288,high-rise  apartment  (building),29,十一層/二十五層,有,有,住家用,North District,2,2,3
2280,71.4,House,19,全/四層,有,無,住家用,North District,2,4,4
373,22.32,House,49,全/二層,無,無,住家用,North District,2,2,3
1118,24.853058,condominium,1,二層/五層,有,有,住家用,North District,1,1,2
1440,58.87,House,19,全/四層,無,無,住家用,North District,3,3,4
980,22.97834,high-rise  apartment  (building),15,六層/十四層,有,有,住家用,North District,2,1,2
750,14.08246,condominium,1,二層/四層,有,有,住家用,North District,2,1,2
2330,70.35,House,20,全/四層,有,無,住家用,North District,2,4,4
264,17.77,House,54,全/二層,無,無,住家用,North District,2,1,3
760,14.640626,high-rise  apartment  (building),8,三層/二十四層,有,有,住家用,North District,2,1,2
958,26.523288,condominium,26,一層/八層,有,有,住家用,North District,2,2,3
280,10.47,House,1,全/一層,無,無,住家用,North District,1,1,2
3988,96.39,House,12,全/四層,無,無,住家用,North District,5,6,5
936,20.7505,high-rise  apartment  (building),8,十六層/二十四層,有,有,住家用,North District,1,1,2
1950,44.63,House,31,全/二層,無,無,住商用,North District,2,2,2
965,15.287532,condominium,1,三層/四層,有,有,住家用,North District,2,1,2
700,25.36,House,48,全/二層,無,無,住家用,North District,4,4,6
430,29.77,House,47,全/三層,無,無,住家用,North District,2,3,3
965,33.23,House,44,全/三層,無,無,住家用,North District,1,5,6
1300,36.567324,high-rise  apartment  (building),24,十六層/二十三層,有,有,住家用,North District,2,2,3
605,28.840238,condominium,39,七層/七層,有,有,住家用,North District,2,2,3
1280,30.615048,high-rise  apartment  (building),20,十四層/十四層,有,有,住家用,North District,2,2,3
1960,30.613527,high-rise  apartment  (building),4,十層/二十四層,有,有,住家用,North District,2,2,2
770,14.08246,condominium,1,四層/四層,有,有,住家用,North District,2,1,2
590,21.528052,condominium,19,八層/十層,有,有,住家用,North District,1,1,2
800,19.664392,condominium,18,二層/十層,有,有,住家用,North District,2,1,2
7,0.43,House,1,全/一層,無,無,住家用,North District,1,1,1
820,22.42,House,48,全/二層,無,無,住家用,North District,2,2,4
1165,31.34558,high-rise  apartment  (building),16,九層/十九層,有,有,住家用,North District,2,2,3
263,12.940305,high-rise  apartment  (building),39,十層/十四層,有,有,住家用,North District,1,1,1
2326,76.89,House,17,全/三層,無,無,住家用,North District,2,4,6
1065,34.280064,high-rise  apartment  (building),21,"一層,二層,騎樓/十一層",無,有,住商用,North District,2,2,2
2920,49.192785,high-rise  apartment  (building),6,四層/二十四層,有,有,住家用,North District,2,2,4
595,25.260535,Apartment,27,"四層,五層/五層",無,無,住家用,North District,2,2,3
686,26.87,House,53,全/二層,無,無,住家用,North District,6,1,6
450,29.890728,Apartment,37,五層/五層,無,無,住家用,North District,2,2,3
280,20.160075,Apartment,42,五層/五層,無,無,住家用,North District,1,1,3
900,21.64652,condominium,1,三層/四層,有,有,住家用,North District,2,1,2
620,22.743696,high-rise  apartment  (building),23,九層/十四層,有,有,住家用,North District,2,2,3
1890,22.08,House,49,全/二層,無,無,住家用,North District,2,3,3
2350,72.23,House,52,全/二層,無,無,住家用,North District,3,3,7
1038,28.69,House,50,全/二層,無,無,住家用,North District,3,2,3
1000,22.018722,high-rise  apartment  (building),14,十四層/十四層,有,有,住家用,North District,1,1,2
